Locuteur,Echange
LD54:,dans des fonctions plus faibles
LD54:,parce que j'ai pas le statut
LD54:,euh
LD54:,et on pense pas
LD54:,que j'ai suffisamment travaillé euh
LD54:,pour pouvoir euh faire ce poste
LD54:,et donc euh vous acceptez de
LD54:,de faire autre chose et dans ces cas-là
LD54:,vous faites quoi
LD54:,vous faites un stage à la chambre de commerce au CCI
ch_NS3:,hm hm
LD54:,création d'entrepreneur
LD54:,vous restez deux mois dans ce stage
LD54:,vous comprenez les aboutissants
LD54:,vous voyez que créer des entreprises c'est difficile
LD54:,créer des entreprises
LD54:,c'est très difficile ça veut dire que vous avez toujours des
LD54:,vous pouvez faire vos
LD54:,votre &bussinessment votre plan marketing
LD54:,tout à bon c'est uniquement utopique
LD54:,ça veut dire vous travaillez sur des projets euh
LD54:,que vous vous y croyez
LD54:,même si vous y croyez pas
LD54:,c'est pas la peine de faire
LD54:,[b:noise:instantaneous]
LD54:,ce projet
LD54:,et pendant ce stage de deux mois
LD54:,déjà au bout d'un mois
LD54:,on on était amené à monter des dossiers
LD54:,et on se rendait compte que beaucoup de gens
LD54:,euh moi-même le premier euh
LD54:,nos idées
LD54:,que nous avions
LD54:,euh
LD54:,s'effacent euh
LD54:,tombent au
LD54:,[à:pronounce:instantaneous] fur à mesure
LD54:,quand on voit les hm
LD54:,[bb:noise:instantaneous]
LD54:,pas les problèmes
LD54:,le risque
LD54:,qu'on peut prendre
LD54:,parce que le risque aujourd'hui il est là
LD54:,ça veut dire qu'aujourd'hui malheureusement
LD54:,un créateur
LD54:,si y a dix créateurs
LD54:,qui lancent qui se lancent dans
LD54:,dans quelque chose
LD54:,vous en avez trois qui vont s- qui vont
LD54:,qui vont pouvoir y rester
LD54:,de t- dans les trois ans qui viennent
ch_NS3:,hm hm
LD54:,donc ça moi j'étais plutôt
LD54:,je voyais plutôt les côtés
LD54:,y avait la formation
LD54:,on vous donnait envie de créer
LD54:,de de vous lancer
LD54:,et moi j'avais plutôt
LD54:,le côté
LD54:,négatif en disant
LD54:,OK
LD54:,moi je vois très bien que vous avez aujourd'hui
LD54:,une quinzaine de stagiaires
LD54:,dans votre euh dans dans ce stage
LD54:,dans les quinze
LD54:,y en aura peut-être euh
LD54:,cinq qui vont pouvoir euh faire quelque chose
LD54:,et dans les cinq qui vont lancer quelque chose
LD54:,peut-être qu'il ne restera
LD54:,plus que deux sur le marché dans les trois ans
LD54:,donc euh je me suis fait
LD54:,peur en me disant euh c'est trop risqué
LD54:,de créer
LD54:,parce qu'aujourd'hui
LD54:,pour créer quelque chose aujourd'hui
LD54:,il faut avoir l'idée
ch_NS3:,hm hm
LD54:,et l'idée
LD54:,euh
LD54:,personne l'a
LD54:,et faut trouver la bonne idée aujourd'hui le le
LD54:,bon demain vous êtes dans cette situation
LD54:,il faut trouver
LD54:,la chose qui marche
ch_NS3:,ouais ouais
LD54:,et la chose qui marche
LD54:,malheureusement personne la connaît
LD54:,donc ça veut dire
LD54:,que
LD54:,vous avez un risque
LD54:,et ce risque j'ai pas voulu le prendre
LD54:,en me disant
LD54:,je suis peut-être businessman commercial et tout
LD54:,je pense que j'aurais pu très bien arriver à à
LD54:,à m'en sortir
LD54:,mais j'ai pas trouvé
LD54:,le produit miracle
LD54:,à lancer
ch_NS3:,hm hm
LD54:,en sachant que je voulais pas non plus
LD54:,investir dans une usine
LD54:,pour faire euh
LD54:,des pièces en plastique
LD54:,euh je veux dire je voulais pas
LD54:,non plus être chef d'entreprise
LD54:,pour pouvoir euh avoir euh
LD54:,jusqu'à ma retraite euh
LD54:,des dettes euh
LD54:,tout au moins des des des crédits euh
LD54:,bon j'avais pas l-
LD54:,la structure non plus
LD54:,pour euh
LD54:,me lancer dans une industrie importante lourde
LD54:,donc c'était plutôt
ch_NS3:,hm hm
LD54:,un créateur quelque chose
LD54:,bon
LD54:,un moment j'ai envisagé d'être audit
LD54:,hein
LD54:,d'être euh faire des faire faire
LD54:,des être auditeur euh
LD54:,pour des sociétés
LD54:,mais c'est comme tout
LD54:,quand vous êtes auditeur euh
LD54:,d'être indépendant vous avez des fois des marchés et
LD54:,quand les marchés euh
LD54:,ne viennent plus pour des raisons
LD54:,X ou Y euh vous pouvez arriver à
LD54:,à retomber sur vous et et
LD54:,perdre euh
LD54:,ces c- si vous avez plus ces clients
LD54:,vous perdez éventuellement euh
LD54:,ou consultant
LD54:,j'ai même failli être consultant
LD54:,mais bon c'était quelque chose euh
LD54:,comme je je me sentais pas capable
LD54:,d'être consultant pour autant
ch_NS3:,hm hm
LD54:,et de ce fait donc dans votre euh
LD54:,dans votre euh circuit
LD54:,donc euh vous un jour euh
LD54:,vous ve- vous vous levez un matin
LD54:,et vous avez des idées
LD54:,et vous vous dites euh
LD54:,vendre du service
LD54:,c'est quoi c'est vendre du tabac
LD54:,vendre de la presse
LD54:,et on s- je me suis dit
LD54:,mon épouse ét- était d'accord
LD54:,je me suis dit euh autant faire ça
LD54:,que de ne rien faire
LD54:,hein
LD54:,et c'est comme ça qu'on devient buraliste
LD54:,pour ma part
LD54:,bon mais je veux dire qu'aujourd'hui je pense pas que
ch_NS3:,hm hm
LD54:,tous les buralistes
LD54:,qui sont comme aujourd'hui euh
LD54:,comme nous-mêmes
LD54:,ont eu ce même parcours
LD54:,encore qu'aujourd'hui
LD54:,euh dans d'après les agences immobilières
LD54:,euh
LD54:,vingt trente pour cent de buralistes
LD54:,dans des cinq dernières années
LD54:,qui sont en place
LD54:,sont souvent
LD54:,des gens
LD54:,qui ont
LD54:,soit subi le chômage
ch_NS3:,hm hm
LD54:,soit qui ont pété des plombs dans leur entreprise
ch_NS3:,ouais
LD54:,un ras-le-bol
LD54:,et qui se sont euh lancés
LD54:,dans ce ce type de de de corps de métier
LD54:,euh soit c'est souvent
LD54:,parce qu'aujourd'hui
LD54:,dans des réunions que j'assiste souvent
LD54:,on voit souvent des anciens boulangers
LD54:,qui ont un peu un ras-le-bol
LD54:,d'avoir des horaires
LD54:,compliqués
ch_NS3:,hm hm
LD54:,des anciens restaurateurs
LD54:,qui veulent plus de structure importante
LD54:,qui veulent plus de salariés qui veulent vraiment avoir euh
LD54:,un structure faible
LD54:,[nontrans:noise:instantaneous]
LD54:,donc dans les dans l'étude des des buralistes aujourd'hui
LD54:,[pi:pronounce:instantaneous] vous avez les buralistes
LD54:,qui ont peut-être pris l'affaire des parents
LD54:,ou qui sont nés dans un bureau de tabac ou dans un bar parce que je dis bureau de tabac
LD54:,bar bureau de tabac ça va souvent ensemble hein
ch_NS3:,hm hm
LD54:,des gens qui ont vécu dans dans dans dans ce milieu
LD54:,et d'autres euh une autre population comme la mienne
LD54:,sont des gens qui viennent d'un autre univers hein
LD54:,et qui veulent euh
LD54:,faire autre chose avec un risque faible sachant que le risque faible il est là
LD54:,ça veut dire c'est vous prenez souvent c'est souvent une reprise
LD54:,ça veut dire vous rachetez un fond de commerce
LD54:,donc vous vous vous êtes pas créateur donc vous rachetez un fond de commerce
LD54:,bon pas un pas de porte
LD54:,donc vous avez vous rachetez la clientèle
LD54:,vous avez le chiffre d'affaire
LD54:,à vous de le maintenir
ch_NS3:,hm hm
LD54:,ou à vous de progresser
LD54:,donc c'est quand même euh
LD54:,moins
LD54:,aujourd'hui on s'en sort très bien
LD54:,c'est pour ça qu'aujourd'hui je peux dire trois ans en arrière
LD54:,c'est moins risqué
LD54:,de faire ce genre de métier aujourd'hui
LD54:,que de de être créateur et partir sur des projets qui sont souvent euh
LD54:,confus
ch_NS3:,hm hm
ch_NS3:,et c'était un bureau de tabac aussi euh
ch_NS3:,ici euh ?
LD54:,ça fait trente-cinq ans que ce bureau de tabac existe
ch_NS3:,d'accord
ch_NS3:,donc dans mon étude de marché l'étude de marché que j'ai fait
ch_NS3:,je voulais quelque chose qui soit ancien
ch_NS3:,et comme aujourd'hui quand vous faites un peu de marketing
ch_NS3:,euh dans un commerce de proximité
ch_NS3:,dans tout commerce que vous avez
ch_NS3:,qu'est-ce qui compte en premier d'après vous
ch_NS3:,alors une bonne clientèle euh
ch_NS3:,[pi:pronounce:instantaneous]
LD54:,oui on est presque là
LD54:,c'est moi maintenant qui pose des questions c'est moi qui va vous auditer
LD54:,[rire en fond:noise:instantaneous]
ch_NS3:,des clients réguliers
LD54:,non c'est l'emplacement
ch_NS3:,hm ouais
ch_NS3:,j'allais le dire en deuxième
LD54:,tout commerce l'emplacement le numéro un c'est l'emplacement
LD54:,aujourd'hui je peux le dire
LD54:,en numéro deux
LD54:,c'est encore l'emplacement
LD54:,et c'est l'emplacement qui fait tout
ch_NS3:,hm hm
LD54:,aujourd'hui
LD54:,si y a pas l'emplacement si vous êtes pas bien situé
LD54:,dans une rue
LD54:,aujourd'hui vous voyez bien
LD54:,l'emplacement
LD54:,re- regardez ce qui se passe
LD54:,dans la rue là en travaux
LD54:,qui sont en train de faire le tram
ch_NS3:,hm hm
LD54:,la rue comment elle s'appelait cette rue la rue euh
ch_NS3:,la rue des Carmes
LD54:,la rue des Carmes
LD54:,c'était un très bel emplacement y a vingt ans
LD54:,aujourd'hui la rue des Carmes c'est c'est plus ce que c'est
ch_NS3:,hm
LD54:,ça veut dire celui qui est commerçant rue des Carmes
LD54:,un bijoutier qui est rue des Carmes
LD54:,il vit plus
ch_NS3:,hm hm
LD54:,donc l'emplacement
LD54:,la fréquentation
LD54:,[pi:pronounce:instantaneous] ça va ensemble c'est l'emplacement
LD54:,l'emplacement et c'est surtout la fréquentation des des euh
LD54:,du passage euh
LD54:,le le passage l'emplacement
LD54:,est pour moi
LD54:,quelque chose euh de de de plus important
LD54:,après
LD54:,y a le business y a aussi le contact
LD54:,aussi le savoir-faire y a aussi l'amabilité
LD54:,y a aussi plein de choses
LD54:,avoir une boutique propre accueillante plein de choses
LD54:,hein euh
LD54:,mais on peut tout avoir on peut être
LD54:,très courtois très poli
LD54:,très avenant
LD54:,avoir une boutique
LD54:,très propre
LD54:,mais si y a pas le client et si mes si votre emplacement il est
LD54:,il est mal situé euh c'est pas la peine
LD54:,donc euh demain
ch_NS3:,hm hm
LD54:,si demain je serai amené à conseiller des des gens qui voudraient se lancer dans des commerces
LD54:,c'est faut mieux mettre plus cher sur un emplacement
LD54:,que se dire faut mieux se sacrifier sur autre chose
LD54:,mais si l'emplacement est là
LD54:,je vous dis c'est ce qui vous fait vivre
ch_NS3:,hm hm mais on voit tellement de commerces la rue de Bourgogne
ch_NS3:,on se demande pourquoi ils se sont mis là euh
ch_NS3:,certains endroits mais les les endroits qui sont pas
ch_NS3:,justement pas passagers ou pas fréquentés
ch_NS3:,et ils ouvrent et ils referment et
LD54:,question de budget question de budget
LD54:,quand vous avez pas beaucoup d'argent
ch_NS3:,hm hm
LD54:,je dis pas que j'en ai beaucoup loin de là
LD54:,mais quand vous avez des moyens
LD54:,plus faibles
LD54:,vous prenez malheureusement ce qu'on vous propose
LD54:,en fonction de
LD54:,votre moyen
ch_NS3:,hm hm
LD54:,mon épouse auparavant a- avant qu'elle soit là
LD54:,elle vendait des elle
LD54:,suivait des dossiers pour des maisons individuelles
LD54:,euh pourquoi les gens euh allaient euh habiter à Loury ou à Trainou
ch_NS3:,bah oui parce que c'est moins cher que
ch_NS3:,d'habiter Orléans centre
LD54:,pourquoi ils voulaient
LD54:,ces gens quand on les voyait venir ça revient à la même chose que je vous disais
LD54:,ces gens quand elle les recevait
LD54:,ils voulaient une un pavillon
LD54:,en banlieue pari- en banlieue
LD54:,en banlieue d'Orléans
LD54:,le plus proche possible
LD54:,ils avaient compris leur intérêt
LD54:,mais au niveau du financement ça passait pas
ch_NS3:,hm hm
LD54:,donc malheureusement
LD54:,quand vous voulez un maison
LD54:,et quand euh vous savez que votre pouvoir d'achat ne va pas augmenter d'une façon
LD54:,à trois cent pour cent
LD54:,que vous savez que les terrains je prends un exemple bon
LD54:,je suis pas du tout dans ce métier mais apparemment j'en j'en ai
LD54:,tellement entendu parler que je peux j'en parle
LD54:,et ça se comprend
LD54:,les gens disaient euh ou
LD54:,le commercial leur leur faisait comprendre qu'ils pouvaient jamais
LD54:,si dans dans même dans les trois qui venaient
LD54:,qui qui seraient à venir
LD54:,ils auraient toujours le même problème parce que les z- les terrains
LD54:,allaient augmenter d'une façon normale classique
LD54:,le coup de la vie allait augmenter leur salaire allait augmenter
LD54:,mais trois ans après ils se seraient
LD54:,c'est toujours la même situation
LD54:,parce qu'ils avaient pas suffisamment de
ch_NS3:,hm hm
LD54:,d'apport personnel
LD54:,pour pouvoir acheter un terrain en banlieue euh d'Orléans
LD54:,donc ces gens allaient là-bas
LD54:,euh
LD54:,mais pourquoi ils allaient et pourquoi après on revoit ces gens pourquoi aujourd'hui
LD54:,on revoit c'est un peu comme les commerces rue de Bourgogne qui ferment l'un après les autres
LD54:,pourquoi on voit dans les cinq ans qui suivent
LD54:,ces gens qui revendent leur pavillon
LD54:,parce que ils sont trop loin de d'Orléans
LD54:,trop loin de de l'école trop loin des facultés
ch_NS3:,hm hm
LD54:,et ça coûte euh
LD54:,des coûts supplémentaires au niveau
LD54:,voiture
LD54:,et ces gens euh vont vous revendre leur maison euh
LD54:,et ils se rendent compte qu'ils ont fait une erreur
LD54:,donc ça revient à peu près
LD54:,comme les gens qui achètent rue de Bourgogne
ch_NS3:,ouais ouais
LD54:,parce que
LD54:,c'est beaucoup moins cher euh
LD54:,bon rue de Bourgogne c'est vrai qu'au niveau restauration
LD54:,c'est quelque chose qui a beaucoup évolué depuis dix ans
LD54:,mais aujourd'hui quand vous voulez un petit restaurant sympa un un petit petit bistro
LD54:,on va rue de Bourgogne c'est vrai
ch_NS3:,hm hm
ch_NS3:,oui ça marche bien pour la restauration mais pour les autres commerces c'est vrai que ça
ch_NS3:,ça marche ça tient pas trop euh
ch_NS3:,ça tourne pas mal
ch_NS3:,hm hm
LD54:,mais
LD54:,c'est dans leur z-
LD54:,tout dépend comment ils ont travaillé leur euh leur étude de marché
ch_NS3:,ouais ouais
ch_NS3:,hm hm
ch_NS3:,si ils sont partis sur des estimations
ch_NS3:,euh incohérentes euh au niveau de
ch_NS3:,bon là on là on parle moi j'aime parler de de du commerce
ch_NS3:,parce qu'aujourd'hui je suis commerçant
ch_NS3:,y a trois ans j'étais pas du tout commerçant j'avais pas fait de stage
ch_NS3:,de la chambre de commerce donc j'aurais pas pu parler comme je parle j'étais
ch_NS3:,dans mes projets j'étais plutôt
ch_NS3:,euh
ch_NS3:,souvent
ch_NS3:,loin de là c'est-à-dire que je
ch_NS3:,je je pensais constamment des des pro- des des projets
LD54:,parce que il fallait il fallait les les les faire euh avancer
ch_NS3:,hm hm
LD54:,mais je pensais pas ça mais aujourd'hui je suis
LD54:,maintenant
LD54:,j'ai décroché
LD54:,depuis trois ans et depuis quatre ans
LD54:,j'ai décroché
LD54:,maintenant je suis commerçant et me dis aujourd'hui euh être commerçant
LD54:,faut faire euh
LD54:,si vous faites une étude de marché
LD54:,si vous faites pas si vous faites une estimation
LD54:,j'ai vu un exemple par exemple on en fait un un de ça à la chambre de commerce
LD54:,y avait euh une personne un jeune femme qui voulait être
LD54:,qui voulait vendre des bijoux de fantaisie
LD54:,bijoux fantaisie vous savez comment ça se passe les bijoux fantaisie
LD54:,euh vous vous voyez un peu où on les trouve ces petits commerces
LD54:,dans des rues relativement euh passagers faut pas non plus être euh excentré
ch_NS3:,hm hm
LD54:,bon
LD54:,si vous êtes dans des rues passagères
LD54:,vous avez un pas de porte relativement onéreux
LD54:,et la marge sur ces bijoux est est très faible
LD54:,ça veut dire des bijoux vous avez achet-
ch_NS3:,ouais ouais
LD54:,que vous achetez cinq euros
LD54:,le le but c'est de vendre des bijoux fantaisies
LD54:,que vous vendez entre quinze et vingt euros
LD54:,pour que les les les les les femmes changent de bijoux
LD54:,comme on change de de toilette bon
LD54:,mais si vous faites l'estimation si la personne on lui dit
LD54:,combien vous estimez euh de clients par jour dans votre boutique
LD54:,hein bon
LD54:,euh
LD54:,et c'est
LD54:,[pi:pronounce:instantaneous]
LD54:,c'est pas mathématique c'est très rapide
LD54:,en en trente secondes on a vite compris
LD54:,que son projet il tient pas
LD54:,hein à part euh avoir euh les moyens financiers
LD54:,de de de de de d'auto-financer soi-même son pas de porte
LD54:,de ce fait avoir aucun crédit se dire
LD54:,je fais ça pour m'amuser
LD54:,OK
LD54:,mais si on veut en vivre non parce qu'aujourd'hui
LD54:,euh les bénéfices qui sont tirés sur les bijoux sachant que les bijoux
LD54:,souvent ils les achètent
LD54:,hein
LD54:,ils les confectionnent pas ils les achètent
LD54:,et donc il faut un minimum de clients par jour pour payer euh
LD54:,l'Urssaf euh
LD54:,donc tous les ensembles de de charges
LD54:,plus le loyer
LD54:,euh plus le crédit
ch_NS3:,hm hm
LD54:,[pi:pronounce:instantaneous]
LD54:,donc c'est c'est un exemple que que que je peux citer
LD54:,donc je parlais justement de ça pourquoi
LD54:,parce que c'est un exemple assez précis hein
ch_NS3:,ouais ouais
ch_NS3:,vous avez parlé de votre votre épouse tout à l'heure
ch_NS3:,donc maintenant qui travaille avec vous mais euh
ch_NS3:,donc avent elle euh elle travaillait elle euh vendait des
ch_NS3:,des maisons individuelles ?
LD54:,oui elle elle non elle vendait pas
LD54:,elle était elle était elle montait les dossiers les les
LD54:,elle montait les dossiers de de financements
ch_NS3:,hm hm
LD54:,parce que quand euh hm
LD54:,bon c'était pas plus mal euh
LD54:,sachant qu'on a été quand même souvent absent
LD54:,parce qu'on se voyait pas
LD54:,bon dans on euh mon
LD54:,je dis mon siège était à Paris mon usine était à Chartres
LD54:,euh et ma grande direction était à Barcelone à l'époque
LD54:,donc j'étais beaucoup beaucoup parti
LD54:,donc euh j'étais souvent euh
LD54:,pas parti tous les
LD54:,pas comme un commercial
LD54:,qui part le lundi qui rentre samedi
LD54:,j'étais souvent absent
LD54:,donc euh
ch_NS3:,hm hm
LD54:,et c'était un risque
LD54:,à prendre de travailler ensemble
LD54:,parce que on avait jamais travaillé ensemble
LD54:,donc il fallait savoir il fa- il a fallu savoir s'adapter
LD54:,et ça c'est très bien passé
ch_NS3:,hm hm
LD54:,sachant que on a euh chacun gère la boutique sa partie
LD54:,elle c'est elle qui va gérer plutôt la partie cadeau bon euh
LD54:,c'est un fille de commerçant à l'origine
LD54:,donc euh les cadeaux euh
LD54:,parce qu'on vend pas mal de cadeaux rue NANON hein
LD54:,des des cadeaux qui sont
ch_NS3:,hm hm
LD54:,plus d'articles de tabac ça se vend encore un tout petit peu
LD54:,pas comme y a vingt ans mais ça se vend encore
LD54:,donc on s'est fait un petit peu un rôle
LD54:,chacun une partie
LD54:,donc elle gère plutôt euh cette partie-là
LD54:,et euh
LD54:,et en semaine euh les commerces euh de proximité comme les tabacs
LD54:,aujourd'hui si je suis là c'est qu'aujourd'hui y a des jours calmes
LD54:,comme le mercredi et le jeudi ça veut dire que on peut aujourd'hui
LD54:,tenir un commerce
LD54:,à mi-temps euh des jours de semaine bon par contre les jours forts
LD54:,sont le vendredi et le samedi
LD54:,parce que
LD54:,y a le passage parce qu'on est dans une rue très hm
ch_NS3:,hm hm
LD54:,très circulante
LD54:,un axe euh important
LD54:,c'est pour ça que mais on pourrait
LD54:,très bien être dans un centre commercial
LD54:,et avoir euh une clientèle
LD54:,i-
LD54:,similaire tous les jours
LD54:,donc là c'est plutôt
LD54:,c'est plutôt euh dans ce genre de commerce
LD54:,surtout où on est situé
LD54:,et même en général
LD54:,c'est le lundi
LD54:,euh le vendredi et le samedi c'est les jours les plus forts
LD54:,donc euh elle est venue m'accompagner
LD54:,sachant que c'était trop difficile de
LD54:,pouvoir prendre un commerce seul
ch_NS3:,hm hm
LD54:,pour ça il aurait fallu avoir un commerce
LD54:,dans des centres commerciaux
LD54:,où vous avez des horaires relativement
LD54:,plus étroites euh
LD54:,avec des coupures le midi donc euh on peut éventuellement
LD54:,mais si vous pouvez pas être tout seul
LD54:,dans un commerce euh de tabac
LD54:,du matin sept heures et demi au soir vingt heures
LD54:,non c'est
LD54:,et donc dans
LD54:,dans
LD54:,quand on a vu cette affaire euh c'était
LD54:,envisageable
LD54:,à deux
LD54:,mais pas tout seul
ch_NS3:,hm hm
LD54:,sinon j'aurais pris autre chose
ch_NS3:,d'accord
ch_NS3:,et donc est-ce que vous pourriez me décrire une euh
ch_NS3:,une journée de travail euh
ch_NS3:,typique euh
ch_NS3:,bien que le lundi soit différent du samedi
LD54:,mais bien sûr
ch_NS3:,mais à peu près euh
ch_NS3:,qu'est-ce que vous faites dans la journée euh ?
LD54:,non le lundi euh
LD54:,le le lundi et le samedi c'est
LD54:,non c'est
LD54:,c'est c'est c'est pas différent
LD54:,c'est qu'y a une y a y
ch_NS3:,c'est au niveau clientèle
LD54:,y a plus de
LD54:,d'activité ça veut dire
LD54:,y a plus de consommateurs
LD54:,qui vont rentrer à la boutique
LD54:,ça veut dire vous avez moins de coupure
LD54:,ça veut dire que vous avez
ch_NS3:,hm hm
LD54:,des après-midi le samedi après-midi
LD54:,c'est
LD54:,euh continu ça veut dire euh un client chasse l'autre
LD54:,quand c'est pas trois clients
LD54:,qui sont l'un derrière l'autre bon
ch_NS3:,hm
LD54:,ça veut dire que
LD54:,il faut être réactif il faut pas non plus
LD54:,on s'est rendu compte euh que dans des commerces euh
LD54:,quand on est nombreux
LD54:,dans le centre d'Orléans
ch_NS3:,hm
LD54:,les gens ne sont pas patients
LD54:,ça j'aurais jamais pensé
LD54:,hein
LD54:,[rire en fond:noise:instantaneous]
LD54:,j'aurais jamais pensé ça hein
ch_NS3:,hm hm
LD54:,les gens sont pas patients
LD54:,ça veut dire que vous avez
LD54:,euh
LD54:,hm
LD54:,p- c'est pas partout pareil
LD54:,mais ça se passe sur sur sur Orléans
LD54:,si on parle d'Orléans justement c'est le cas d'Orléans
LD54:,les gens sont pas patients ça veut dire
LD54:,vous avez deux clients
LD54:,on est deux à la caisse
LD54:,vous avez deux clients
LD54:,on a vu des fois servir chacun un client
LD54:,un troisième client arrive
LD54:,il va être pris il va être servi
LD54:,dans la minute qui suit
LD54:,parce qu'on est re- relativement rapide
LD54:,les caisses sont maintenant sont très
LD54:,sophistiquées ça va très vite
LD54:,c'est souvent les clients qu'on attend
LD54:,pour qu'ils nous donnent leur monnaie
LD54:,ou qu'ils veulent nous rendre service
LD54:,en cherchant dans le porte-monnaie euh
LD54:,des centimes qu'ils ont pas
LD54:,bon
ch_NS3:,hm hm
LD54:,mais nous on réagit très bien
LD54:,mais on voit les clients
LD54:,euh on on
LD54:,on voit des clients
LD54:,c'est même pas des clients
LD54:,c'est des clients de passage
LD54:,c'est pas nos clients
LD54:,nos clients attendent
LD54:,parce qu'en moyenne on a quand même une clientèle
LD54:,plus les gens de passage
LD54:,et ces gens de passage
LD54:,euh s- se retournent et et ils s'en vont hein
ch_NS3:,hm hm
LD54:,donc euh
LD54:,et attendent euh
LD54:,trente secondes euh
LD54:,et c'est souvent pas de notre faute hein
LD54:,non
LD54:,une journée normale
LD54:,c'est quoi
LD54:,c'est le matin vous arrivez dans une presse hein euh
LD54:,à sept heures et demie
LD54:,pour ouvrir à sept heures et demie
LD54:,c'est pas la peine d'ouvrir plus tôt
LD54:,c'est pas la peine d'arriver plus tôt
LD54:,parce que sur Orléans rue NANON
LD54:,les gens euh viennent plus tard
LD54:,donc c'est pas comme dans des endroits
LD54:,où vous devriez être ouvert euh à sept heures
LD54:,où vous avez les
LD54:,les gens qui vont travailler entre guillemets
LD54:,hein
LD54:,qui viennent chercher le paquet de Gauloises
LD54:,hein le le pa-
LD54:,qui prennent leur baguette
LD54:,leur paquet de Gauloises
ch_NS3:,hm hm
LD54:,et euh et leur journal
LD54:,donc ici
LD54:,c'est plutôt
LD54:,des gens ça commence à bouger à partir de neuf heures
LD54:,donc ça vous laisse le temps
LD54:,de mettre en place
LD54:,toute la presse
LD54:,parce que toute la presse surtout
LD54:,c'est quotidien
LD54:,tous les jours
LD54:,il nous arrive des des
LD54:,des des
LD54:,des bacs ça veut dire c'est
LD54:,c'est des ba-
LD54:,c'est des cartons
LD54:,c'est dans les bacs mais c'est des cartons
LD54:,de presse qui sont euh oh
LD54:,ils sont euh
LD54:,échangés
LD54:,euh parce qu'aujourd'hui quand une presse
LD54:,quand vous avez un nouveau titre
LD54:,dans une euh sur le rayon
LD54:,il faut savoir euh
LD54:,que quand vous voyez le mois de juin
LD54:,le mois de mai a été supprimé
LD54:,ça veut dire mais c'est pas
LD54:,on arrive pas à avoir toutes les revues
LD54:,le même jour ça veut dire
LD54:,y a des éditeurs
LD54:,qui vont à partir du quinze mai
LD54:,commencer à vous faire retirer leur article
LD54:,pour mettre l'article du mois de juin
LD54:,ça veut dire que sur le mois
ch_NS3:,hm hm
LD54:,tous les jours vous avez
LD54:,bon les quotidiens c'est une chose rapide à faire
LD54:,mais tous les jours vous avez
LD54:,euh à brasser
LD54:,quelques caisses de de revues
LD54:,euh le but c'est de retirer l'ancienne euh
LD54:,de remettre la nouvelle
LD54:,de la comptabiliser
LD54:,hein
LD54:,sachant que toutes ces revues retournent euh
ch_NS3:,hm hm
LD54:,chez notre dépositaire
LD54:,le lendemain matin
LD54:,donc ça la presse c'est ça c'est
LD54:,retirer
LD54:,remettre en place
LD54:,euh après le quotidien
LD54:,c'est
LD54:,quotidien c- c'est la même chose
LD54:,mais c'est plutôt
LD54:,beaucoup moins
LD54:,beaucoup moins prenant
LD54:,c'est les revues style euh le
LD54:,l'Equipe toutes
LD54:,[tous:pronounce:instantaneous] les revues qui sont
LD54:,et après
LD54:,quand ça est en place
LD54:,euh ça prend déjà beaucoup de temps
LD54:,parce qu'on fait ça
LD54:,euh je le fais le matin mon épouse arrive plus tard
LD54:,je le fais
LD54:,euh entre deux clients
LD54:,ça veut dire euh
LD54:,ça peut me me- mener
LD54:,jusqu'à dix onze heures euh tout dépend
LD54:,y a des fins de mois
LD54:,qui sont plus importantes
LD54:,en fin de mois
LD54:,y a plus de presse
LD54:,qui arrive
LD54:,parce que euh
LD54:,c'est souvent les
LD54:,ça se comprend qu'en fin de mois y a plus de presse
LD54:,qui doit être échangée
ch_NS3:,hm hm
LD54:,et
LD54:,et le reste du temps euh
LD54:,on est à la caisse
LD54:,pour servir les clients
LD54:,donc euh
LD54:,on va quoi on va faire euh
LD54:,le réassort de de tabac
LD54:,on doit en mettre sur les linéaires euh
LD54:,la confiserie qu'on doit rajouter
LD54:,y a toujours un commercial
LD54:,qui va passer par jour euh du tabac
LD54:,parce que les commerciaux de tabac
LD54:,passent euh d'une façon régulière donc
LD54:,ils vous présentent bon aujourd'hui ils vous
LD54:,présentent quelque chose euh
LD54:,on a euh une occupation
LD54:,q-
LD54:,t-
LD54:,quand y a beaucoup de monde
LD54:,je veux dire euh
LD54:,on voit pas les journées passer ça veut dire y a
LD54:,toujours
LD54:,bon ça veut dire y a t-
ch_NS3:,hm hm
LD54:,c'est pas comme euh un commerce euh
LD54:,on a des commerçants qui viennent nous voir
LD54:,qui s- euh
LD54:,qui vont vous dire euh ce matin
LD54:,j'ai vu trois clients
LD54:,bon
LD54:,parce que
LD54:,c'est des commerces euh de
LD54:,pas de services c'est des commerces
LD54:,différents
LD54:,ils vont avoir trois clients
LD54:,et ces gens-là
LD54:,euh ils se disent on s'ennuie
LD54:,trois clients dans la j- dans la matinée
LD54:,ils s'ennuient
LD54:,bon
ch_NS3:,hm hm
LD54:,que nous
LD54:,on a pas cette impression
LD54:,de s'ennuyer
LD54:,parce que y a toujours un va-et-vient
LD54:,donc c'est vraiment
LD54:,un commerce
LD54:,différent par rapport à un commerce
LD54:,que vous avez dû déjà audité hein
LD54:,je sais pas vous avez déjà audité des commerces de quoi ?
ch_NS3:,euh hm un cou- j'ai interviewé un coutelier
ch_NS3:,euh rue de rue de Bourgogne là
ch_NS3:,euh
LD54:,oui donc lui c'est plutôt
